"#","Last Change Type","Chg Info","","Zip Code","Stat","Address","Unit Number","Current Price","BldgDes","Sub","Approx Liv Area","Beds Total","Baths Total","Garage","Pv Pool","Spa","Year Built","Actual Close Date","DOM"
"1","New Listing","NEW","2757768","89108","A-ER","2451 North Rainbow BLVD #2053","2053","$135,000","2STORY","CON","720","1","1","0","N","N","1988","","0"
"1","New Listing","NEW","2757207","89141","A-ER","11129 Alora ST","","$429,900","2STORY","SFR","1,659","3","3","2","N","N","2002","","0"
"1","New Listing","NEW","2757573","89147","A-ER","3980 Lone Mesa DR","","$509,000","1STORY","SFR","2,002","3","2","2","N","N","1996","","0"
"1","New Listing","NEW","2756195","89032","A-ER","3306 Bridge House ST","","$355,000","1STORY","SFR","1,104","3","2","2","N","N","1999","","0"
"1","New Listing","NEW","2757502","89044","A-ER","12759 Silver Satin ST","","$529,000","1STORY","SFR","1,612","3","2","2","N","N","2021","","0"
"1","New Listing","NEW","2756050","89081","A-ER","3532 Rubio Sun AVE","","$430,000","2STORY","SFR","2,195","4","3","2","N","N","2005","","0"
"1","New Listing","NEW","2756921","89086","A-ER","755 Glory Morning CT","","$345,000","2STORY","TWH","1,827","3","3","2","N","N","2021","","0"
"1","New Listing","NEW","2756417","89138","A-ER","11551 Earth Stone AVE","","$685,000","3STORY","SFR","1,857","3","4","2","N","N","2022","","1"
"1","New Listing","NEW","2757190","89147","A-ER","9591 Borgata Bay BLVD","","$799,999","2STORY","SFR","3,283","3","4","3","Y","Y","2000","","1"
"1","New Listing","NEW","2756971","89141","A-ER","4542 Pearl Falls AVE","","$639,999","1STORY","SFR","2,153","3","2","2","N","N","2017","","0"
"1","New Listing","NEW","2757760","89039","A-ER","130 Fig Leaf PL","","$330,000","1STORY","SFR","2,188","3","3","2","N","N","1996","","1"
"1","New Listing","NEW","2757758","89084","A-ER","1626 Dakota Group AVE","","$410,000","2STORY","TWH","1,989","4","3","2","N","N","2021","","0"
"1","New Listing","NEW","2757756","89032","A-ER","3343 Indian Horse CT","","$400,000","1STORY","SFR","1,336","3","2","2","N","N","1998","","0"
"1","New Listing","NEW","2757755","89084","A-ER","336 River Glider AVE","","$429,900","1STORY","SFR","1,374","2","3","2","N","N","2001","","0"
"1","New Listing","NEW","2757754","89031","A-ER","6354 Cuen Cove ST","","$550,000","1STORY","SFR","2,148","4","3","2","N","N","2022","","0"
"1","New Listing","NEW","2757708","89084","A-ER","3520 Hazelnut Pine PL #1","1","$280,000","2STORY","TWH","1,128","2","2","1","N","N","2004","","0"
"1","New Listing","NEW","2748607","89014","A-ER","2063 Waverly CIR","","$415,000","2STORY","SFR","1,470","3","3","2","Y","N","1988","","0"
"1","New Listing","NEW","2749803","89108","A-ER","4208 North Carnation LN","","$285,000","MANUFCT","MAN","1,536","3","2","0","N","N","1979","","0"
"1","New Listing","NEW","2750718","89142","A-ER","6565 La Placita AVE","","$395,000","2STORY","SFR","1,718","4","3","2","N","N","2004","","0"
"1","New Listing","NEW","2751876","89044","A-ER","3187 Via Seranova","","$415,000","2STORY","TWH","1,798","2","3","2","N","N","2008","","0"
"1","New Listing","NEW","2754443","89015","A-ER","1027 Huckburn AVE","","$519,000","2STORY","SFR","2,525","4","3","2","N","N","2020","","0"
"1","New Listing","NEW","2754859","89015","A-ER","256 Hillcrest DR","","$395,000","1STORY","SFR","1,392","3","2","1","N","N","1957","","0"
"1","New Listing","NEW","2754899","89011","A-ER","857 Metromont CT","","$469,999","2STORY","SFR","1,999","3","3","2","N","N","2025","","0"
"1","New Listing","NEW","2755949","89135","A-ER","4135 Ombre ST","","$895,000","1STORY","TWH","1,796","3","4","2","N","N","2022","","0"
"1","New Listing","NEW","2756578","89117","A-ER","9048 Opus DR","","$1,199,000","2STORY","SFR","3,029","3","3","2","Y","Y","1996","","0"
"1","New Listing","NEW","2756740","89119","A-ER","3823 South Maryland PKWY #3","3","$205,000","1STORY","CON","892","2","2","0","N","N","1984","","0"
"1","New Listing","NEW","2756994","89148","A-ER","9705 Gentle Spirit DR","","$485,000","1STORY","SFR","1,656","3","2","2","N","N","2003","","0"
"1","New Listing","NEW","2757144","89139","A-ER","5459 Floating Flower AVE","","$400,000","2STORY","SFR","1,649","3","3","2","N","N","2006","","0"
"1","New Listing","NEW","2757438","89166","A-ER","7116 Boomer Beach ST","","$675,000","2STORY","SFR","3,037","5","3","3","N","N","2011","","0"
"1","New Listing","NEW","2757537","89084","A-ER","3005 Gnatcatcher AVE","","$639,888","1STORY","SFR","2,394","3","3","3","N","N","2004","","0"
"1","New Listing","NEW","2757590","89129","A-ER","4142 Sparrow Rock ST","","$360,000","2STORY","SFR","1,201","2","3","2","N","N","2005","","0"
"1","New Listing","NEW","2757747","89107","A-ER","2800 Avalon AVE","","$289,999","1STORY","SFR","1,742","3","2","0","N","N","1962","","0"
"1","New Listing","NEW","2757753","89031","A-ER","4840 Crystal Field ST","","$680,000","2STORY","SFR","2,794","4","3","3","N","N","2006","","0"
